environment,group,case,compile_passed,test_cases,pipeline_passed,raw_passed,instruction_coverage,branch_coverage,correct_instruction_coverage,correct_branch_coverage,error_type
original_target_classes,group_a_baseline,XPathHelper_getSingleStep,False,9,0,0,0,0,0,0,compile error
original_target_classes,group_a_baseline,Verifier_isXMLPublicIDCharacter,True,3,3,1,0.97,0.93,0.97,0.93,
original_target_classes,group_a_baseline,Rule_pattern,True,5,0,0,0.0,0.0,0.0,0.0,
original_target_classes,group_b_enhanced,XPathHelper_getSingleStep,True,5,5,4,0.35,0.36,0.35,0.36,
original_target_classes,group_b_enhanced,Verifier_isXMLPublicIDCharacter,True,3,3,1,0.97,0.93,0.97,0.93,
original_target_classes,group_b_enhanced,Rule_pattern,True,5,0,0,0.0,0.0,0.0,0.0,
original_target_classes,group_c_source_grounded,XPathHelper_getSingleStep,True,7,7,6,0.49,0.5,0.49,0.5,
original_target_classes,group_c_source_grounded,Verifier_isXMLPublicIDCharacter,True,3,3,1,0.97,0.93,0.97,0.93,
original_target_classes,group_c_source_grounded,Rule_pattern,True,5,0,0,0.0,0.0,0.0,0.0,
resources_copied,group_a_baseline,XPathHelper_getSingleStep,False,9,0,0,0,0,0,0,compile error
resources_copied,group_a_baseline,Verifier_isXMLPublicIDCharacter,True,3,3,1,0.97,0.93,0.97,0.93,
resources_copied,group_a_baseline,Rule_pattern,True,5,0,0,1.0,0.92,0.0,0.0,
resources_copied,group_b_enhanced,XPathHelper_getSingleStep,True,5,5,4,0.35,0.36,0.35,0.36,
resources_copied,group_b_enhanced,Verifier_isXMLPublicIDCharacter,True,3,3,1,0.97,0.93,0.97,0.93,
resources_copied,group_b_enhanced,Rule_pattern,True,5,0,0,1.0,0.92,0.0,0.0,
resources_copied,group_c_source_grounded,XPathHelper_getSingleStep,True,7,7,6,0.49,0.5,0.49,0.5,
resources_copied,group_c_source_grounded,Verifier_isXMLPublicIDCharacter,True,3,3,1,0.97,0.93,0.97,0.93,
resources_copied,group_c_source_grounded,Rule_pattern,True,5,0,0,1.0,0.92,0.0,0.0,
