source,repetition,project,case,method,run3_failure,compile_passed,test_cases,passed_cases,cpr,epr,ic,bc,correct_ic,correct_bc
run3,run3,jdom2,WalkerNORMALIZE_analyzeMultiText,"org.jdom2.output.support.WalkerNORMALIZE#analyzeMultiText(MultiText, int, int)",compile failure: hallucinated API,False,9,0,0.0,0.0,0,0,0,0
run3,run3,jdom2,XPathHelper_getSingleStep,"org.jdom2.xpath.XPathHelper#getSingleStep(NamespaceAware, StringBuilder)",compile failure: hallucinated/inaccessible construction,False,5,0,0.0,0.0,0,0,0,0
run3,run3,jdom2,AbstractFormattedWalker_next,org.jdom2.output.support.AbstractFormattedWalker#next(),all assertions failed; zero focal coverage,True,9,0,1.0,0.0,0.0,0.0,0.0,0.0
run3,run3,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,True,13,0,1.0,0.0,0.16,0.11,0.0,0.0
run3,run3,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,6,6,1.0,1.0,0.0,0.0,0.0,0.0
run3,run3,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,True,31,0,1.0,0.0,0.0,0.0,0.0,0.0
run3,run3,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,16,0,1.0,0.0,0.0,0.0,0.0,0.0
run3,run3,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,0,0,1.0,0.0,0.0,0.0,0.0,0.0
run3,run3,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,12,4,1.0,0.3333333333333333,0.59,0.58,0.35,0.37
run3,run3,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,16,0,1.0,0.0,0,0,0,0
run3,run3,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,False,8,0,0.0,0.0,0,0,0,0
run3,run3,ruler,ByteMachine_addEndOfMatch,"software.amazon.event.ruler.ByteMachine#addEndOfMatch(ByteState, ByteState, InputCharacter[], int, Patterns, NameState)",compile failure: hallucinated production API,False,8,0,0.0,0.0,0,0,0,0
experiment,rep_1,jdom2,WalkerNORMALIZE_analyzeMultiText,"org.jdom2.output.support.WalkerNORMALIZE#analyzeMultiText(MultiText, int, int)",compile failure: hallucinated API,False,11,0,0.0,0.0,0,0,0,0
experiment,rep_1,jdom2,XPathHelper_getSingleStep,"org.jdom2.xpath.XPathHelper#getSingleStep(NamespaceAware, StringBuilder)",compile failure: hallucinated/inaccessible construction,False,13,0,0.0,0.0,0,0,0,0
experiment,rep_1,jdom2,AbstractFormattedWalker_next,org.jdom2.output.support.AbstractFormattedWalker#next(),all assertions failed; zero focal coverage,True,9,0,1.0,0.0,0.03,0.02,0.0,0.0
experiment,rep_1,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,True,5,0,1.0,0.0,0.16,0.11,0.0,0.0
experiment,rep_1,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,2,2,1.0,1.0,0.94,0.9,0.94,0.9
experiment,rep_1,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,False,10,0,0.0,0.0,0,0,0,0
experiment,rep_1,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,11,4,1.0,0.36363636363636365,0.97,0.83,0.94,0.66
experiment,rep_1,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,8,8,1.0,1.0,0.78,0.33,0.78,0.33
experiment,rep_1,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,16,3,1.0,0.1875,0.62,0.62,0.28,0.31
experiment,rep_1,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,15,11,1.0,0.7333333333333333,0.95,0.91,0.93,0.85
experiment,rep_1,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,True,7,7,1.0,1.0,0.36,0.28,0.36,0.28
experiment,rep_1,ruler,ByteMachine_addEndOfMatch,"software.amazon.event.ruler.ByteMachine#addEndOfMatch(ByteState, ByteState, InputCharacter[], int, Patterns, NameState)",compile failure: hallucinated production API,True,0,0,1.0,0.0,0.0,0.0,0.0,0.0
experiment,rep_2,jdom2,WalkerNORMALIZE_analyzeMultiText,"org.jdom2.output.support.WalkerNORMALIZE#analyzeMultiText(MultiText, int, int)",compile failure: hallucinated API,False,9,0,0.0,0.0,0,0,0,0
experiment,rep_2,jdom2,XPathHelper_getSingleStep,"org.jdom2.xpath.XPathHelper#getSingleStep(NamespaceAware, StringBuilder)",compile failure: hallucinated/inaccessible construction,False,9,0,0.0,0.0,0,0,0,0
experiment,rep_2,jdom2,AbstractFormattedWalker_next,org.jdom2.output.support.AbstractFormattedWalker#next(),all assertions failed; zero focal coverage,False,11,0,0.0,0.0,0,0,0,0
experiment,rep_2,jdom2,StAXStreamBuilder_processPrunableElement,"org.jdom2.input.StAXStreamBuilder#processPrunableElement(JDOMFactory, XMLStreamReader, int, StAXFilter)",wrong oracle; coverage only from failing tests,False,12,0,0.0,0.0,0,0,0,0
experiment,rep_2,jdom2,Verifier_isXMLPublicIDCharacter,org.jdom2.Verifier#isXMLPublicIDCharacter(char),passed tests but zero focal coverage; wrong oracle/shadow in Run3,True,3,3,1.0,1.0,1.0,1.0,1.0,1.0
experiment,rep_2,commons-codec,Rule_pattern,org.apache.commons.codec.language.bm.Rule#pattern(String),wrong oracle/resource-sensitive; all assertions failed,True,9,9,1.0,1.0,1.0,0.97,1.0,0.97
experiment,rep_2,commons-codec,DaitchMokotoffSoundex_soundex,"org.apache.commons.codec.language.DaitchMokotoffSoundex#soundex(String, boolean)",all assertions failed; zero focal coverage,True,28,5,1.0,0.17857142857142858,0.98,0.9,0.94,0.66
experiment,rep_2,commons-codec,MurmurHash3_hash128x64Internal,"org.apache.commons.codec.digest.MurmurHash3#hash128x64Internal(byte[], int, int, long)",zero tests/runner failure,True,8,2,1.0,0.25,0.5,0.33,0.07,0.16
experiment,rep_2,commons-codec,DoubleMetaphone_doubleMetaphone,"org.apache.commons.codec.language.DoubleMetaphone#doubleMetaphone(String, boolean)",partial assertion failures; low correct coverage,True,8,4,1.0,0.5,0.56,0.54,0.46,0.45
experiment,rep_2,commons-codec,Sha2Crypt_sha2Crypt,"org.apache.commons.codec.digest.Sha2Crypt#sha2Crypt(byte[], String, String, int, String)",execution timeout,True,8,6,1.0,0.75,0.95,0.85,0.93,0.79
experiment,rep_2,gson,JsonReader_skipValue,com.google.gson.stream.JsonReader#skipValue(),compile failure: missing symbol/import after repair,True,8,8,1.0,1.0,0.52,0.52,0.52,0.52
