project,case,run3_failure,compile_flip,all_pass_flip,experiment_mean_cpr,experiment_std_cpr,experiment_min_cpr,experiment_max_cpr,experiment_range_cpr,run3_cpr,official_mean_cpr,official_range_cpr,experiment_mean_epr,experiment_std_epr,experiment_min_epr,experiment_max_epr,experiment_range_epr,run3_epr,official_mean_epr,official_range_epr,experiment_mean_ic,experiment_std_ic,experiment_min_ic,experiment_max_ic,experiment_range_ic,run3_ic,official_mean_ic,official_range_ic,experiment_mean_bc,experiment_std_bc,experiment_min_bc,experiment_max_bc,experiment_range_bc,run3_bc,official_mean_bc,official_range_bc,experiment_mean_correct_ic,experiment_std_correct_ic,experiment_min_correct_ic,experiment_max_correct_ic,experiment_range_correct_ic,run3_correct_ic,official_mean_correct_ic,official_range_correct_ic,experiment_mean_correct_bc,experiment_std_correct_bc,experiment_min_correct_bc,experiment_max_correct_bc,experiment_range_correct_bc,run3_correct_bc,official_mean_correct_bc,official_range_correct_bc
jdom2,WalkerNORMALIZE_analyzeMultiText,compile failure: hallucinated API,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6733333333333333,0.8333333333333334,0,0.0,0,0,0,0,0.5680000000000001,0.74,0,0.0,0,0,0,0,0.384,0.5700000000000001,0,0.0,0,0,0,0,0.548,0.79,0,0.0,0,0,0,0,0.372,0.6
jdom2,XPathHelper_getSingleStep,compile failure: hallucinated/inaccessible construction,True,True,0.3333333333333333,0.4714045207910317,0.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.4714045207910317,0.0,1.0,1.0,0.0,0.8314285714285714,0.33333333333333337,0.26666666666666666,0.37712361663282534,0,0.8,0.8,0,0.62,0.65,0.21,0.29698484809834996,0,0.63,0.63,0,0.508,0.57,0.26666666666666666,0.37712361663282534,0,0.8,0.8,0,0.494,0.72,0.21,0.29698484809834996,0,0.63,0.63,0,0.444,0.5700000000000001
jdom2,AbstractFormattedWalker_next,all assertions failed; zero focal coverage,True,True,0.6666666666666666,0.4714045207910317,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.4714045207910317,0.0,1.0,1.0,0.0,0.8,1.0,0.02,0.01414213562373095,0,0.03,0.03,0.0,0.20400000000000001,0.62,0.013333333333333334,0.009428090415820633,0,0.02,0.02,0.0,0.194,0.64,0.01,0.01414213562373095,0.0,0.03,0.03,0.0,0.148,0.65,0.006666666666666667,0.009428090415820633,0.0,0.02,0.02,0.0,0.14400000000000002,0.66
jdom2,StAXStreamBuilder_processPrunableElement,wrong oracle; coverage only from failing tests,True,False,0.6666666666666666,0.4714045207910317,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,1.0,0.10666666666666667,0.07542472332656507,0,0.16,0.16,0.16,0.262,0.63,0.07333333333333333,0.05185449728701349,0,0.11,0.11,0.11,0.188,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16
jdom2,Verifier_isXMLPublicIDCharacter,passed tests but zero focal coverage; wrong oracle/shadow in Run3,False,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8390804597701149,0.6666666666666667,0.9533333333333334,0.033993463423951896,0.92,1.0,0.07999999999999996,0.0,0.982,0.06000000000000005,0.9033333333333333,0.07760297817881875,0.81,1.0,0.18999999999999995,0.0,0.964,0.09999999999999998,0.9533333333333334,0.033993463423951896,0.92,1.0,0.07999999999999996,0.0,0.956,0.09999999999999998,0.9033333333333333,0.07760297817881875,0.81,1.0,0.18999999999999995,0.0,0.932,0.13
commons-codec,Rule_pattern,wrong oracle/resource-sensitive; all assertions failed,True,True,0.6666666666666666,0.4714045207910317,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.4714045207910317,0.0,1.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0,1.0,1.0,0.0,1.0,0.0,0.6566666666666666,0.46449494674921443,0,1.0,1.0,0.0,0.962,0.07999999999999996,0.3333333333333333,0.4714045207910317,0,1.0,1.0,0.0,0.6,1.0,0.3233333333333333,0.4572623851673007,0,0.97,0.97,0.0,0.552,0.92
commons-codec,DaitchMokotoffSoundex_soundex,all assertions failed; zero focal coverage,False,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.33225108225108224,0.11483086887187044,0.17857142857142858,0.45454545454545453,0.275974025974026,0.0,0.6,0.8333333333333334,0.9666666666666667,0.012472191289246483,0.95,0.98,0.030000000000000027,0.0,0.776,0.99,0.8433333333333334,0.041899350299921784,0.8,0.9,0.09999999999999998,0.0,0.648,0.9,0.9299999999999999,0.01414213562373091,0.91,0.94,0.029999999999999916,0.0,0.752,0.95,0.6433333333333333,0.023570226039551605,0.61,0.66,0.050000000000000044,0.0,0.548,0.78
commons-codec,MurmurHash3_hash128x64Internal,zero tests/runner failure,False,True,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5833333333333334,0.31180478223116176,0.25,1.0,0.75,0.0,0.7,1.0,0.76,0.20461345670963743,0.5,1.0,0.5,0.0,0.76,0.3500000000000001,0.4033333333333334,0.10370899457402698,0.33,0.55,0.22000000000000003,0.0,0.262,0.17,0.6166666666666667,0.396848697728604,0.07,1.0,0.9299999999999999,0.0,0.576,0.85,0.33,0.13880441875771343,0.16,0.5,0.33999999999999997,0.0,0.20800000000000002,0.33
commons-codec,DoubleMetaphone_doubleMetaphone,partial assertion failures; low correct coverage,False,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.37202380952380953,0.13369688955485834,0.1875,0.5,0.3125,0.3333333333333333,0.6842857142857143,0.5,0.5966666666666667,0.026246692913372675,0.56,0.62,0.05999999999999994,0.59,0.512,0.33,0.58,0.032659863237109024,0.54,0.62,0.07999999999999996,0.58,0.496,0.31,0.3433333333333333,0.08259674462242579,0.28,0.46,0.18,0.35,0.382,0.23000000000000004,0.3566666666666667,0.06599663291074444,0.31,0.45,0.14,0.37,0.38,0.23000000000000004
commons-codec,Sha2Crypt_sha2Crypt,execution timeout,False,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.4944444444444444,0.349691221819027,0.0,0.75,0.75,0.0,0.8888888888888888,0.5555555555555556,0.6333333333333333,0.44783429475148007,0,0.95,0.95,0,0.946,0.039999999999999925,0.5866666666666667,0.41555852643025976,0,0.91,0.91,0,0.874,0.06000000000000005,0.62,0.43840620433565947,0,0.93,0.93,0,0.9400000000000001,0.039999999999999925,0.5466666666666666,0.387327022323801,0,0.85,0.85,0,0.862,0.12
