project,case,file,rep_1,rep_2,rep_3,all_equal
jdom2,WalkerNORMALIZE_analyzeMultiText,condition4case_prompt.md,bfda55681811087debe7e91cf276c53f75f583a6e17d0ccf46e6eb3e902680e6,bfda55681811087debe7e91cf276c53f75f583a6e17d0ccf46e6eb3e902680e6,bfda55681811087debe7e91cf276c53f75f583a6e17d0ccf46e6eb3e902680e6,True
jdom2,WalkerNORMALIZE_analyzeMultiText,exception4case_prompt.md,9dcef8780d5eef79d16ce22f9a3c80328fb8aa5ccb4ebd1022e6aebaf6670e2c,9dcef8780d5eef79d16ce22f9a3c80328fb8aa5ccb4ebd1022e6aebaf6670e2c,9dcef8780d5eef79d16ce22f9a3c80328fb8aa5ccb4ebd1022e6aebaf6670e2c,True
jdom2,WalkerNORMALIZE_analyzeMultiText,gencode_prompt.md,5a19988d51668192df23670f954bf463103135843516c28f15c25161c06b1eb3,1a17eb4c60da09f5c69bc990e56b5469cd7b7d814aa46aed387662eb1b726382,5a19988d51668192df23670f954bf463103135843516c28f15c25161c06b1eb3,False
jdom2,WalkerNORMALIZE_analyzeMultiText,init_prompt.md,c37b6de9d9a899813c173b34863baa63ba1d2da0d3105d2b84705808270a5d63,c37b6de9d9a899813c173b34863baa63ba1d2da0d3105d2b84705808270a5d63,c37b6de9d9a899813c173b34863baa63ba1d2da0d3105d2b84705808270a5d63,True
jdom2,WalkerNORMALIZE_analyzeMultiText,io4case_prompt.md,0c55f5cff0448e9601dc5649947c520457d23819b50d22350acec0de12404925,0c55f5cff0448e9601dc5649947c520457d23819b50d22350acec0de12404925,0c55f5cff0448e9601dc5649947c520457d23819b50d22350acec0de12404925,True
jdom2,XPathHelper_getSingleStep,condition4case_prompt.md,b2d02ace328579ed8fa8bc2df47b5d7ca369f244fef85a28462f37fd8df7c8f4,b2d02ace328579ed8fa8bc2df47b5d7ca369f244fef85a28462f37fd8df7c8f4,b2d02ace328579ed8fa8bc2df47b5d7ca369f244fef85a28462f37fd8df7c8f4,True
jdom2,XPathHelper_getSingleStep,exception4case_prompt.md,630e4930fbe42aa3a133a62770c4fd8f5f0b8bca3eb092e69d2dcc67c296eb35,630e4930fbe42aa3a133a62770c4fd8f5f0b8bca3eb092e69d2dcc67c296eb35,630e4930fbe42aa3a133a62770c4fd8f5f0b8bca3eb092e69d2dcc67c296eb35,True
jdom2,XPathHelper_getSingleStep,gencode_prompt.md,c472120255ccbd16dc9b121656281fc52a9e76ddc0c4fb7dbe06773549801b8b,47a68a2fb731b1e7b63d5671164f74038199858e52806b97ece1455a6429834c,c472120255ccbd16dc9b121656281fc52a9e76ddc0c4fb7dbe06773549801b8b,False
jdom2,XPathHelper_getSingleStep,init_prompt.md,7d4030fe1aacee88e9d9dbf7e2074cb745ca0c51b8f93aa908eb97c5a4edd13c,7d4030fe1aacee88e9d9dbf7e2074cb745ca0c51b8f93aa908eb97c5a4edd13c,7d4030fe1aacee88e9d9dbf7e2074cb745ca0c51b8f93aa908eb97c5a4edd13c,True
jdom2,XPathHelper_getSingleStep,io4case_prompt.md,efbb72c81efbd18e48e848bbf61da0f48c207553d59211968f4541e810465aab,efbb72c81efbd18e48e848bbf61da0f48c207553d59211968f4541e810465aab,efbb72c81efbd18e48e848bbf61da0f48c207553d59211968f4541e810465aab,True
jdom2,AbstractFormattedWalker_next,condition4case_prompt.md,c9ffada9da87b487abb7981c30f6bdaeddc8396792c75e459c4399f1c2ca3610,c9ffada9da87b487abb7981c30f6bdaeddc8396792c75e459c4399f1c2ca3610,c9ffada9da87b487abb7981c30f6bdaeddc8396792c75e459c4399f1c2ca3610,True
jdom2,AbstractFormattedWalker_next,exception4case_prompt.md,73919157fbdf9bcbba98de392d26f588fcc28741521370f2f4ef662a93ebac79,73919157fbdf9bcbba98de392d26f588fcc28741521370f2f4ef662a93ebac79,73919157fbdf9bcbba98de392d26f588fcc28741521370f2f4ef662a93ebac79,True
